Date,Ticker,stock_p_change,SP500_p_change,model,outperformance,predicted_outperformance_probability
2011-12-31 21:00:25,urbn,38.68,14.05,extra_trees,24.63,0.5386166072393971
2012-01-01 08:29:08,nwl,41.03,15.99,extra_trees,25.04,0.5613483236526758
2012-01-01 09:11:12,bac,109.83,15.99,extra_trees,93.84,0.8249596970323642
2012-01-01 09:30:57,ge,21.59,15.99,extra_trees,5.6,0.7130598325273857
2012-01-01 10:02:29,s,142.31,15.99,extra_trees,126.32000000000001,0.784802812759642
2012-01-01 13:36:26,biib,33.0,15.99,extra_trees,17.009999999999998,0.5592476633693493
2012-01-01 17:41:35,dal,46.72,15.99,extra_trees,30.729999999999997,0.5963707496261396
2012-01-01 20:57:00,aeo,47.5,15.99,extra_trees,31.509999999999998,0.7186012932084068
2012-01-01 23:06:14,wfc,27.35,15.99,extra_trees,11.360000000000001,0.867785567202885
2012-01-01 23:13:40,abt,24.6,15.99,extra_trees,8.610000000000001,0.5866050827350772
2012-01-01 23:13:40,wdc,39.07,15.99,extra_trees,23.08,0.7058799227831727
2012-01-02 04:15:13,pfe,20.43,15.99,extra_trees,4.4399999999999995,0.8026053394497649
2012-01-02 08:04:30,unp,23.84,15.99,extra_trees,7.85,0.5636276456032449
2012-01-02 19:36:41,v,54.05,15.99,extra_trees,38.059999999999995,0.5825870741092678
2012-01-02 19:39:36,aig,52.16,15.99,extra_trees,36.169999999999995,0.6426687222561198
2012-01-03 13:31:10,jpm,32.38,17.1,extra_trees,15.280000000000001,0.6825807440879391
2012-01-03 13:50:51,dis,35.43,17.1,extra_trees,18.33,0.6645319216324257
2012-01-03 19:26:58,sti,59.3,17.1,extra_trees,42.199999999999996,0.6478531025674251
2012-01-04 02:27:50,ci,25.9,16.65,extra_trees,9.25,0.5689100114834623
2012-01-07 09:19:59,wmt,19.93,17.15,extra_trees,2.780000000000001,0.8807614466334995
2012-01-07 14:19:13,hd,49.45,17.15,extra_trees,32.300000000000004,0.6207702952334556
2012-01-08 08:59:52,aapl,32.06,16.83,extra_trees,15.230000000000004,0.9116563929892586
2012-01-08 14:45:10,ge,17.54,16.83,extra_trees,0.7100000000000009,0.6853382449758824
2012-01-12 04:29:33,goog,17.53,16.08,extra_trees,1.4500000000000028,0.5014820872549796
2012-01-13 03:10:55,ea,-21.06,16.68,extra_trees,-37.739999999999995,0.5043855520491578
2012-01-13 14:12:49,ipg,13.44,16.68,extra_trees,-3.24,0.5695589855604254
2012-01-14 11:04:15,wmt,18.11,16.68,extra_trees,1.4299999999999997,0.8656393027367665
2012-01-15 06:54:17,ebay,73.68,16.6,extra_trees,57.080000000000005,0.5309215280330369
2012-01-17 02:03:48,ge,16.92,16.21,extra_trees,0.7100000000000009,0.6658655340002106
2012-01-18 09:17:29,ipg,15.31,15.69,extra_trees,-0.379999999999999,0.5717989750156254
2012-01-18 22:16:00,oke,7.57,15.69,extra_trees,-8.12,0.5729436787949925
2012-01-24 22:16:47,dfs,41.15,16.14,extra_trees,25.009999999999998,0.615994268284109
2012-01-27 14:56:29,mrk,17.54,16.51,extra_trees,1.0299999999999976,0.6272082237225044
2012-01-28 00:34:11,ma,52.83,16.51,extra_trees,36.31999999999999,0.8410944056607221
2012-01-28 06:06:40,ivz,26.06,16.51,extra_trees,9.549999999999997,0.6298984779957514
2012-01-28 06:09:47,dlph,44.59,16.51,extra_trees,28.080000000000002,0.6504051871785032
2012-01-28 06:10:10,mpc,87.8,16.51,extra_trees,71.28999999999999,0.7311900755979002
2012-01-28 15:14:39,ivz,26.06,16.51,extra_trees,9.549999999999997,0.6283227016408653
2012-01-28 15:18:06,dlph,44.59,16.51,extra_trees,28.080000000000002,0.6470416296837546
2012-01-28 15:18:37,mpc,87.8,16.51,extra_trees,71.28999999999999,0.7311900755979002
2012-01-29 10:20:33,dfs,41.94,16.37,extra_trees,25.569999999999997,0.6127055842696641
2012-01-30 04:34:27,pfe,33.38,17.23,extra_trees,16.150000000000002,0.7896462793320534
2012-02-01 09:42:38,dfs,40.17,15.51,extra_trees,24.660000000000004,0.7016027649428147
2012-02-01 18:13:31,hov,126.59,15.51,extra_trees,111.08,0.6837088074469051
2012-02-03 03:48:15,dfs,39.16,14.91,extra_trees,24.249999999999996,0.6776211400402822
2012-02-04 03:41:42,goog,30.06,14.91,extra_trees,15.149999999999999,0.5906737818692059
2012-02-04 11:55:01,dfs,39.16,14.91,extra_trees,24.249999999999996,0.6723665308542919
2012-02-04 15:57:56,rsh,1.91,14.91,extra_trees,-13.0,0.5277228616535765
2012-02-06 16:16:09,dfs,40.58,14.84,extra_trees,25.74,0.6703767907105336
2012-02-11 00:32:10,dfs,43.24,15.49,extra_trees,27.75,0.6668576201817586
2012-02-13 01:32:02,dfs,39.33,14.8,extra_trees,24.529999999999998,0.6628264994873257
2012-02-14 19:14:56,expe,96.54,15.04,extra_trees,81.5,0.560369592901919
2012-02-17 07:08:15,dfs,34.14,13.98,extra_trees,20.16,0.6534001903806748
2012-02-20 00:36:36,dfs,35.44,14.84,extra_trees,20.599999999999998,0.6517449296880299
2012-02-24 14:56:40,dfs,30.38,13.39,extra_trees,16.99,0.642466963284526
2012-02-26 11:45:56,dfs,27.2,11.23,extra_trees,15.969999999999999,0.642466963284526
2012-02-28 12:03:59,mco,27.3,12.88,extra_trees,14.42,0.5301912060573603
2012-02-29 05:10:45,gci,42.76,13.1,extra_trees,29.659999999999997,0.6129952084613717
2012-02-29 09:00:05,dfs,29.95,13.1,extra_trees,16.85,0.6410580108044432
2012-03-01 09:23:44,dfs,28.97,12.89,extra_trees,16.08,0.64190435958419
2012-03-01 23:19:11,bac,40.29,12.89,extra_trees,27.4,0.7314874589987657
2012-03-02 20:56:30,abt,28.73,13.23,extra_trees,15.5,0.5801457227405473
2012-03-04 13:38:54,dfs,31.81,13.84,extra_trees,17.97,0.6282687509477445
2012-03-06 03:43:58,sfly,54.42,17.2,extra_trees,37.22,0.6865902208890602
2012-03-06 19:42:19,v,44.83,17.2,extra_trees,27.63,0.5276588798810803
2012-03-07 17:08:49,fslr,1.16,16.6,extra_trees,-15.440000000000001,0.5586890336783074
2012-03-09 03:57:50,rf,41.39,15.5,extra_trees,25.89,0.5535529255229381
2012-03-09 07:00:14,wfc,18.73,15.5,extra_trees,3.2300000000000004,0.7174972492828724
2012-03-09 07:22:13,usb,18.0,15.5,extra_trees,2.5,0.5820964775572783
2012-03-09 14:15:49,fhn,10.89,15.5,extra_trees,-4.609999999999999,0.5875567856049734
2012-03-09 20:40:39,wfc,18.73,15.5,extra_trees,3.2300000000000004,0.7076171709985158
2012-03-09 23:59:18,zion,33.49,15.5,extra_trees,17.990000000000002,0.6579261890933635
2012-03-10 02:13:15,bac,50.61,15.5,extra_trees,35.11,0.7257019189408325
2012-03-10 06:00:10,hban,28.81,15.5,extra_trees,13.309999999999999,0.5173327573021157
2012-03-10 07:53:56,aig,40.11,15.5,extra_trees,24.61,0.6012243709883301
2012-03-10 10:30:23,bbt,10.18,15.5,extra_trees,-5.32,0.5827402110600909
2012-03-10 10:31:12,usb,18.0,15.5,extra_trees,2.5,0.5549816407829554
2012-03-11 04:48:46,all,54.38,15.93,extra_trees,38.45,0.5589348949106209
2012-03-11 13:28:28,pfe,36.43,15.93,extra_trees,20.5,0.739844458925982
2012-03-12 14:42:43,s,117.65,15.67,extra_trees,101.98,0.7577327226606142
2012-03-13 08:47:34,fslr,-1.54,13.78,extra_trees,-15.32,0.5240847055791974
2012-03-13 09:39:10,goog,33.59,13.78,extra_trees,19.810000000000002,0.5798845438973578
2012-03-15 02:07:35,s,107.5,13.7,extra_trees,93.8,0.7577327226606142
2012-03-16 00:12:56,fslr,-8.49,13.54,extra_trees,-22.03,0.5201995259701712
2012-03-16 01:19:55,goog,30.28,13.54,extra_trees,16.740000000000002,0.5714542432967575
2012-03-16 04:36:14,dis,35.37,13.54,extra_trees,21.83,0.5134564916648039
