model,positions,unique_tickers,avg_stock_return,avg_market_return,avg_outperformance,return_volatility,hit_rate,sharpe_proxy,worst_position_return,best_position_return
gradient_boosting,103,48,48.891650485436905,20.673980582524273,28.217669902912633,60.47201196886802,0.7184466019417476,0.8085004763957107,-22.05,447.48
random_forest,223,78,43.6237668161435,19.902107623318386,23.721659192825115,47.71877386774388,0.7623318385650224,0.9141845709835297,-39.71,447.48
xgboost,145,51,41.779999999999994,20.61696551724138,21.16303448275862,52.73415263533365,0.6758620689655173,0.7922759333769211,-54.8,375.13
extra_trees_tuned,244,89,39.79725409836065,19.92422131147541,19.873032786885243,45.27812277352072,0.7459016393442623,0.8789510620266846,-52.13,447.48
extra_trees,290,100,39.906551724137934,20.291551724137932,19.615,51.12239917502709,0.6793103448275862,0.7806079598790032,-73.79,447.48
lightgbm,271,105,36.89745387453874,20.077121771217715,16.820332103321036,36.15278743124505,0.7232472324723247,1.0205977601231961,-52.13,236.27
