Date,Ticker,stock_p_change,SP500_p_change,model,outperformance,sharpe_proxy,predicted_outperformance_probability
2011-12-31 21:00:25,urbn,38.68,14.05,extra_trees,24.63,,0.6146769323174314
2012-01-01 09:11:12,bac,109.83,15.99,extra_trees,93.84,2.1830369016927196,0.7863880244861343
2012-01-01 09:30:57,ge,21.59,15.99,extra_trees,5.6,0.4613379827041781,0.5213549395810647
2012-01-01 10:02:29,s,142.31,15.99,extra_trees,126.32000000000001,2.4801776135638343,0.7728526803816573
2012-01-01 13:36:26,biib,33.0,15.99,extra_trees,17.009999999999998,0.615334883199223,0.518710594180441
2012-01-01 20:57:00,aeo,47.5,15.99,extra_trees,31.509999999999998,0.9739590061209042,0.6263290253368249
2012-01-01 23:06:14,wfc,27.35,15.99,extra_trees,11.360000000000001,0.5844537832744573,0.8140808366483717
2012-01-01 23:13:40,wdc,39.07,15.99,extra_trees,23.08,0.8888809418872301,0.6208070469397705
2012-01-02 04:15:13,pfe,20.43,15.99,extra_trees,4.4399999999999995,0.47595761620785954,0.7504350272258234
2012-01-02 08:04:30,unp,23.84,15.99,extra_trees,7.85,0.5740698715187124,0.5517942643330562
2012-01-02 19:33:14,gs,43.39,15.99,extra_trees,27.4,1.0997903379755023,0.5166819838372727
2012-01-02 19:36:41,v,54.05,15.99,extra_trees,38.059999999999995,1.4360625723305394,0.6110768974030867
2012-01-02 19:39:36,aig,52.16,15.99,extra_trees,36.169999999999995,1.4472855947030583,0.570125172143088
2012-01-03 13:31:10,jpm,32.38,17.1,extra_trees,15.280000000000001,0.9263688778130189,0.668093540129989
2012-01-03 13:50:51,dis,35.43,17.1,extra_trees,18.33,1.046269933358835,0.6134100570449136
2012-01-03 19:26:58,sti,59.3,17.1,extra_trees,42.199999999999996,1.8059877733103011,0.5874037135881045
2012-01-04 01:49:33,fslr,-0.84,16.65,extra_trees,-17.49,-0.024814545723432245,0.5529044622232709
2012-01-04 02:27:50,ci,25.9,16.65,extra_trees,9.25,0.7806214950390069,0.5483244757500676
2012-01-07 09:19:59,wmt,19.93,17.15,extra_trees,2.780000000000001,0.608619350586525,0.8155685875650052
2012-01-07 14:19:13,hd,49.45,17.15,extra_trees,32.300000000000004,1.5501383537357083,0.6223665944760512
2012-01-07 22:39:22,vlo,77.75,17.15,extra_trees,60.6,2.3737694036052264,0.5045669690177119
2012-01-08 08:59:52,aapl,32.06,16.83,extra_trees,15.230000000000004,1.0991017912204935,0.9121442326763777
2012-01-12 04:29:33,goog,17.53,16.08,extra_trees,1.4500000000000028,0.5976482638588186,0.5001276829075731
2012-01-13 03:10:55,ea,-21.06,16.68,extra_trees,-37.739999999999995,-1.193990066264925,0.5683653333775476
2012-01-13 14:12:49,ipg,13.44,16.68,extra_trees,-3.24,0.7336083471724343,0.500147193813222
2012-01-14 11:04:15,wmt,18.11,16.68,extra_trees,1.4299999999999997,0.9835272995653166,0.8014634132856021
2012-01-15 06:54:17,ebay,73.68,16.6,extra_trees,57.080000000000005,3.6039212719586575,0.5508847360200109
2012-01-18 22:16:00,oke,7.57,15.69,extra_trees,-8.12,0.3546084167910283,0.5478469290506606
2012-01-27 14:56:29,mrk,17.54,16.51,extra_trees,1.0299999999999976,0.8175976717123576,0.6143793609848931
2012-01-28 00:34:11,ma,52.83,16.51,extra_trees,36.31999999999999,2.4318200709358284,0.8070533504808567
2012-01-28 06:06:40,ivz,26.06,16.51,extra_trees,9.549999999999997,1.1994258846013819,0.5541470186138837
2012-01-28 06:09:47,dlph,44.59,16.51,extra_trees,28.080000000000002,2.0860006260640342,0.5931451928766779
2012-01-28 06:10:10,mpc,87.8,16.51,extra_trees,71.28999999999999,3.617693954083521,0.6756842350064146
2012-01-28 15:14:39,ivz,26.06,16.51,extra_trees,9.549999999999997,1.069980450598439,0.5542941549990964
2012-01-28 15:18:06,dlph,44.59,16.51,extra_trees,28.080000000000002,1.8242287838208706,0.5998269492186538
2012-01-28 15:18:37,mpc,87.8,16.51,extra_trees,71.28999999999999,3.298400165734832,0.6756842350064146
2012-01-30 04:34:27,pfe,33.38,17.23,extra_trees,16.150000000000002,1.32270050845316,0.7462122224248675
2012-01-31 01:27:52,rhi,31.83,16.81,extra_trees,15.02,1.2675954731283523,0.5254409282272748
2012-02-01 09:42:38,dfs,40.17,15.51,extra_trees,24.660000000000004,1.6263468176851996,0.6319092861617914
2012-02-01 18:13:31,hov,126.59,15.51,extra_trees,111.08,4.037614690256531,0.6504014887569051
2012-02-03 03:48:15,dfs,39.16,14.91,extra_trees,24.249999999999996,1.290756507340417,0.6102020682522415
2012-02-04 03:41:42,goog,30.06,14.91,extra_trees,15.149999999999999,0.989568443147199,0.5704006250521181
2012-02-04 11:55:01,dfs,39.16,14.91,extra_trees,24.249999999999996,1.312314223567664,0.612554112568868
2012-02-04 15:57:56,rsh,1.91,14.91,extra_trees,-13.0,0.06186570971524683,0.5046604110637385
2012-02-06 16:16:09,dfs,40.58,14.84,extra_trees,25.74,1.346645078429358,0.6105919483106766
2012-02-11 00:32:10,dfs,43.24,15.49,extra_trees,27.75,1.463830020805534,0.6062700534874904
2012-02-13 01:32:02,dfs,39.33,14.8,extra_trees,24.529999999999998,1.3677468360856848,0.5968287770532955
2012-02-13 05:44:37,gnw,1.11,14.8,extra_trees,-13.690000000000001,0.038004428771536265,0.5556968042995085
2012-02-14 19:14:56,expe,96.54,15.04,extra_trees,81.5,3.1223789203325305,0.515227946621378
2012-02-17 07:08:15,dfs,34.14,13.98,extra_trees,20.16,1.101144320125118,0.5846092321770902
2012-02-17 08:38:29,gnw,-1.74,13.98,extra_trees,-15.72,-0.05392610153064113,0.5502873748287549
2012-02-20 00:36:36,dfs,35.44,14.84,extra_trees,20.599999999999998,1.0962064312311972,0.5750416489481692
2012-02-20 04:52:27,gnw,-1.19,14.84,extra_trees,-16.03,-0.037237678756599314,0.552006774200411
2012-02-24 14:56:40,dfs,30.38,13.39,extra_trees,16.99,0.9531184171859066,0.5706775501122946
2012-02-24 17:42:23,gnw,-3.5,13.39,extra_trees,-16.89,-0.10649275260479008,0.5501526981405068
2012-02-26 11:45:56,dfs,27.2,11.23,extra_trees,15.969999999999999,0.8846995434118994,0.5703943447533852
2012-02-26 14:09:30,gnw,-8.86,11.23,extra_trees,-20.09,-0.2831582314697955,0.54984592478245
2012-02-29 05:10:45,gci,42.76,13.1,extra_trees,29.659999999999997,1.36383997633342,0.5625740041245453
2012-02-29 09:00:05,dfs,29.95,13.1,extra_trees,16.85,0.955870343016453,0.5672036567582954
2012-02-29 11:18:24,gnw,-6.05,13.1,extra_trees,-19.15,-0.2630759557896364,0.5560604077035107
2012-03-01 09:23:44,dfs,28.97,12.89,extra_trees,16.08,1.2683741204608567,0.5669720793168089
2012-03-01 11:08:31,gnw,-6.37,12.89,extra_trees,-19.26,-0.273521361145388,0.5568339388985942
